file,R2,r,trait,mode,cv,sp
asi_5a2_cv1_sp10.ghatREL1,0.203722669584093,0.451356477281642,asi,5a2,cv1,sp10.ghatREL1
asi_5a2_cv1_sp1.ghatREL1,0.199105092883378,0.446211937181624,asi,5a2,cv1,sp1.ghatREL1
asi_5a2_cv1_sp2.ghatREL1,0.464382104660046,0.681455871395974,asi,5a2,cv1,sp2.ghatREL1
asi_5a2_cv1_sp3.ghatREL1,0.14205407309782,0.376900614350548,asi,5a2,cv1,sp3.ghatREL1
asi_5a2_cv1_sp4.ghatREL1,0.283834439006909,0.532761146300018,asi,5a2,cv1,sp4.ghatREL1
asi_5a2_cv1_sp5.ghatREL1,0.250461502133931,0.500461289346071,asi,5a2,cv1,sp5.ghatREL1
asi_5a2_cv1_sp6.ghatREL1,0.192328101985078,0.438552279648708,asi,5a2,cv1,sp6.ghatREL1
asi_5a2_cv1_sp7.ghatREL1,0.065901518831016,0.256712911305637,asi,5a2,cv1,sp7.ghatREL1
asi_5a2_cv1_sp8.ghatREL1,0.4743150174123,0.688705319721214,asi,5a2,cv1,sp8.ghatREL1
asi_5a2_cv1_sp9.ghatREL1,0.230075517151355,0.47966187794253,asi,5a2,cv1,sp9.ghatREL1
asi_5a2_cv2_sp10.ghatREL1,0.591492829592665,0.769085710173233,asi,5a2,cv2,sp10.ghatREL1
asi_5a2_cv2_sp1.ghatREL1,0.282726178089416,0.531720018514835,asi,5a2,cv2,sp1.ghatREL1
asi_5a2_cv2_sp2.ghatREL1,0.278989854827707,0.52819490231136,asi,5a2,cv2,sp2.ghatREL1
asi_5a2_cv2_sp3.ghatREL1,0.166799975721745,0.40841152741046,asi,5a2,cv2,sp3.ghatREL1
asi_5a2_cv2_sp4.ghatREL1,0.0563124835626142,0.237302514867867,asi,5a2,cv2,sp4.ghatREL1
asi_5a2_cv2_sp5.ghatREL1,0.259926679651264,0.509830049772729,asi,5a2,cv2,sp5.ghatREL1
asi_5a2_cv2_sp6.ghatREL1,0.440313293162158,0.663561069655355,asi,5a2,cv2,sp6.ghatREL1
asi_5a2_cv2_sp7.ghatREL1,0.434568191381235,0.659217863366304,asi,5a2,cv2,sp7.ghatREL1
asi_5a2_cv2_sp8.ghatREL1,0.0979325385442783,0.312941749442733,asi,5a2,cv2,sp8.ghatREL1
asi_5a2_cv2_sp9.ghatREL1,0.199809589799183,0.447000659730143,asi,5a2,cv2,sp9.ghatREL1
asi_5a2_cv3_sp10.ghatREL1,0.172691756233937,0.41556197640537,asi,5a2,cv3,sp10.ghatREL1
asi_5a2_cv3_sp1.ghatREL1,0.163770718404213,0.404685950342006,asi,5a2,cv3,sp1.ghatREL1
asi_5a2_cv3_sp2.ghatREL1,0.207025878263223,0.455000965123398,asi,5a2,cv3,sp2.ghatREL1
asi_5a2_cv3_sp3.ghatREL1,0.573948931441591,0.757594173315497,asi,5a2,cv3,sp3.ghatREL1
asi_5a2_cv3_sp4.ghatREL1,0.156015197964736,0.394987592165547,asi,5a2,cv3,sp4.ghatREL1
asi_5a2_cv3_sp5.ghatREL1,0.478705407565372,0.691885400601409,asi,5a2,cv3,sp5.ghatREL1
asi_5a2_cv3_sp6.ghatREL1,0.417760324531006,0.646343812944014,asi,5a2,cv3,sp6.ghatREL1
asi_5a2_cv3_sp7.ghatREL1,0.630791413342478,0.794223780393459,asi,5a2,cv3,sp7.ghatREL1
asi_5a2_cv3_sp8.ghatREL1,0.411914746313519,0.641805847833688,asi,5a2,cv3,sp8.ghatREL1
asi_5a2_cv3_sp9.ghatREL1,0.347911417708468,0.589840162847926,asi,5a2,cv3,sp9.ghatREL1
asi_5a2_cv4_sp10.ghatREL1,0.127718754998126,0.35737760841738,asi,5a2,cv4,sp10.ghatREL1
asi_5a2_cv4_sp1.ghatREL1,0.261180613881594,0.511058327279376,asi,5a2,cv4,sp1.ghatREL1
asi_5a2_cv4_sp2.ghatREL1,0.114434110088085,0.338281111042407,asi,5a2,cv4,sp2.ghatREL1
asi_5a2_cv4_sp3.ghatREL1,0.353856684608925,0.594858541679385,asi,5a2,cv4,sp3.ghatREL1
asi_5a2_cv4_sp4.ghatREL1,0.279573228261452,0.528746847046346,asi,5a2,cv4,sp4.ghatREL1
asi_5a2_cv4_sp5.ghatREL1,0.550520042549162,0.741970378484992,asi,5a2,cv4,sp5.ghatREL1
asi_5a2_cv4_sp6.ghatREL1,0.405459968002295,0.6367573855106,asi,5a2,cv4,sp6.ghatREL1
asi_5a2_cv4_sp7.ghatREL1,0.608314528476892,0.779945208637691,asi,5a2,cv4,sp7.ghatREL1
asi_5a2_cv4_sp8.ghatREL1,0.112496382384283,0.335404803758508,asi,5a2,cv4,sp8.ghatREL1
asi_5a2_cv4_sp9.ghatREL1,0.261286517012123,0.511161928367247,asi,5a2,cv4,sp9.ghatREL1
asi_5a2_cv5_sp10.ghatREL1,0.0151775415137292,0.123197165201677,asi,5a2,cv5,sp10.ghatREL1
asi_5a2_cv5_sp1.ghatREL1,0.124950839709058,0.353483860606192,asi,5a2,cv5,sp1.ghatREL1
asi_5a2_cv5_sp2.ghatREL1,0.749894500190068,0.865964491298614,asi,5a2,cv5,sp2.ghatREL1
asi_5a2_cv5_sp3.ghatREL1,0.216900862059251,0.465726166388846,asi,5a2,cv5,sp3.ghatREL1
asi_5a2_cv5_sp4.ghatREL1,0.320058011095058,0.565736697673978,asi,5a2,cv5,sp4.ghatREL1
asi_5a2_cv5_sp5.ghatREL1,0.296709988185456,0.544710921668967,asi,5a2,cv5,sp5.ghatREL1
